Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2019-07-25T04:00:00.000000+0000,9.8,9.8,9.8,9.8,100.0,,,,0.0,,,,0.0,,,,,,,,,,,0
2019-07-26T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,,,0.0,0.0,,,0.0,0.0,,,100.0,,,9.8,9.8,9.8,0.0,0
2019-07-29T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,100.0,,9.8,9.8,9.8,0.0,0
2019-07-30T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.8,9.8,9.8,0.0,0
2019-07-31T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,0.0,0
2019-08-01T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,0.0,0
2019-08-02T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,0.0,0
2019-08-05T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,0.0,0
2019-08-06T04:00:00.000000+0000,9.8,9.8,9.8,9.8,0.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,0.0,0
2019-08-07T04:00:00.000000+0000,9.76,9.76,9.76,9.76,150000.0,9.8,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,-0.004089981263258574,0
